Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
5bdrm Duplex in Ado / Ajah for sale,500.0,5,5,Semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,230000000
3bdrm Apartment in Allen Avenue for sale,500.0,3,3,Semi-furnished,"Ikeja, Allen Avenue",Allen Avenue,Lagos State,False,275000000
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,Semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,350000000
5bdrm Duplex in Ogba GRA for sale,500.0,5,5,Semi-furnished,"Ogba, Ogba GRA",Ogba GRA,Lagos State,False,520000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,False,180000000
4bdrm Apartment in Thomas Estate for sale,500.0,4,4,Semi-furnished,"Ajah, Thomas Estate",Thomas Estate,Lagos State,False,195000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,750000000
4bdrm Maisonette in Opebi for sale,500.0,4,4,Semi-furnished,"Ikeja, Opebi",Opebi,Lagos State,False,420000000
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,500000000
4bdrm Duplex in Ajah for sale,500.0,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,160000000
3bdrm Duplex in Ikota for sale,500.0,3,3,Semi-furnished,"Lekki, Ikota",Ikota,Lagos State,False,135000000
Furnished 4bdrm Duplex in Guzape District for sale,250.0,4,4,Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja(FCT),diamond,450000000
4bdrm Maisonette in Ikorodu Road / Ilupeju for sale,500.0,4,4,Semi-furnished,"Ilupeju, Ikorodu Road / Ilupeju",Ikorodu Road / Ilupeju,Lagos State,False,243000000
4bdrm Duplex in Oko-Oba for sale,500.0,4,4,Semi-furnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,False,380000000
Furnished 4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,False,160000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,300000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Semi-furnished,"Lekki, Ikota",Ikota,Lagos State,False,200000000
3bdrm Duplex in GRA Phase 1 for sale,500.0,3,3,Semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,350000000
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,280000000
3bdrm Apartment in New Garage / Gbagada for sale,500.0,3,3,Semi-furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Lagos State,False,150000000
3bdrm Duplex in Ojuelegba for sale,500.0,3,3,Semi-furnished,"Surulere, Ojuelegba",Ojuelegba,Lagos State,False,400000000
3bdrm Townhouse/Terrace in Off Lekki-Epe Expressway for sale,250.0,3,3,Semi-furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,diamond,150000000
4bdrm Duplex in Alausa for sale,500.0,4,4,Semi-furnished,"Ikeja, Alausa",Alausa,Lagos State,False,400000000
2bdrm Apartment in Lekki Expressway for sale,500.0,2,2,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,130000000
3bdrm Apartment in Ikeja GRA for sale,500.0,3,3,Semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,False,320000000
4bdrm Duplex in Ogudu GRA for sale,500.0,4,4,Semi-furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,False,550000000
