title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
3bdrm Penthouse in Ikate for sale,500.0,3,3,unfurnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 300,000,000"
2bdrm Apartment in Oregun for sale,500.0,2,2,semi-furnished,"Ikeja, Oregun",Oregun,Ikeja,False,"₦ 140,000,000"
2bdrm Apartment in Ikate for sale,500.0,2,2,semi-furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 140,000,000"
4bdrm Duplex in Ikate for sale,500.0,4,4,semi-furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 300,000,000"
4bdrm Duplex in Ikate for sale,500.0,4,4,semi-furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 300,000,000"
5bdrm Duplex in Papa Ajao / Surulere for sale,500.0,5,5,semi-furnished,"Surulere, Papa Ajao / Surulere",Papa Ajao / Surulere,Surulere,False,"₦ 450,000,000"
6bdrm Duplex in Ikate for sale,500.0,6,6,semi-furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 1,600,000,000"
4bdrm Duplex in VGC / Ajah for sale,500.0,4,4,unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Ajah,False,"₦ 190,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 1,200,000,000"
5bdrm Duplex in Banana Island for sale,500.0,5,5,semi-furnished,"Ikoyi, Banana Island",Banana Island,Ikoyi,False,"₦ 5,500,000,000"
3bdrm Apartment in Sabo / Yaba for sale,500.0,3,3,semi-furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,False,"₦ 165,000,000"
5bdrm Duplex in Chevron for sale,500.0,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 450,000,000"
3bdrm Duplex in Fagba Ifako Ijaiye for sale,180.0,3,3,semi-furnished,"Agege, Fagba",Fagba,Agege,enterprise,"₦ 240,000,000"
Furnished 3bdrm Block of Flats in Ikosi Ketu for sale,684.0,3,3,furnished,"Kosofe, Ketu-Ikosi",Ketu-Ikosi,Kosofe,basic,"₦ 350,000,000"
"Furnished 3bdrm Penthouse in Seman Metropolis, Sabon Lugbe for sale",600.0,3,4,furnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,False,"₦ 180,000,000"
2bdrm Apartment in Lekki Expressway for sale,500.0,2,2,unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 120,000,000"
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 195,000,000"
6bdrm Duplex in Chevron for sale,500.0,6,6,semi-furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 900,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 650,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 1,200,000,000"
5bdrm Duplex in Chevron for sale,500.0,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 350,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 1,200,000,000"
4bdrm Duplex in Sabo / Yaba for sale,500.0,4,4,semi-furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,False,"₦ 260,000,000"
3bdrm Apartment in East West Road for sale,500.0,3,4,semi-furnished,"Port-Harcourt, East West Road",East West Road,Port-Harcourt,enterprise,"₦ 115,000,000"
Furnished 5bdrm Duplex in Ikota Lekki for sale,520.0,5,5,furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 200,000,000"
3bdrm Duplex in Lekki for sale,500.0,3,3,unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 150,000,000"
3bdrm Apartment in Oregun for sale,500.0,3,3,semi-furnished,"Ikeja, Oregun",Oregun,Ikeja,False,"₦ 170,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 330,000,000"
4bdrm House in Ikoyi S.W for sale,500.0,4,4,semi-furnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,False,"₦ 449,000,000"
4bdrm Duplex in Ologolo for sale,500.0,4,4,semi-furnished,"Lekki, Ologolo",Ologolo,Lekki,False,"₦ 200,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,200.0,5,6,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 850,000,000"
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 200,000,000"
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,False,"₦ 470,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 200,000,000"
3bdrm Apartment in Adeniyi Jones for sale,500.0,3,3,semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,False,"₦ 300,000,000"
5bdrm Duplex in Ologolo for sale,500.0,5,5,semi-furnished,"Lekki, Ologolo",Ologolo,Lekki,False,"₦ 390,000,000"
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,False,"₦ 330,000,000"
"5bdrm Duplex in F01, Kubwa for sale",550.0,5,5,semi-furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),False,"₦ 185,000,000"
Furnished 5bdrm Duplex in Lekki Ikota for sale,520.0,5,5,furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 470,000,000"
2bdrm Apartment in Ologolo for sale,500.0,2,2,unfurnished,"Lekki, Ologolo",Ologolo,Lekki,False,"₦ 100,000,000"
4bdrm Duplex in Sabo / Yaba for sale,500.0,4,4,semi-furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,False,"₦ 300,000,000"
5bdrm Duplex in Isheri North for sale,500.0,5,5,semi-furnished,"Ojodu, Isheri North",Isheri North,Ojodu,False,"₦ 360,000,000"
2bdrm Apartment in Ologolo for sale,500.0,2,2,semi-furnished,"Lekki, Ologolo",Ologolo,Lekki,False,"₦ 120,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 500,000,000"
5bdrm Duplex in Osapa london for sale,500.0,5,5,semi-furnished,"Lekki, Osapa london",Osapa london,Lekki,False,"₦ 1,900,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 530,000,000"
5bdrm Duplex in Chevron for sale,500.0,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 550,000,000"
2bdrm Apartment in Lekki Expressway for sale,200.0,2,2,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 120,000,000"
2bdrm Apartment in Ikate for sale,500.0,2,2,semi-furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 160,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 850,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 650,000,000"
4bdrm Duplex in Agbado for sale,500.0,4,4,semi-furnished,"Ifako-Ijaiye, Agbado",Agbado,Ifako-Ijaiye,False,"₦ 330,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 430,000,000"
4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,False,"₦ 190,000,000"
3bdrm Block of Flats in Mabushi for sale,350.0,3,3,unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),diamond,"₦ 180,000,000"
